Date,Mkt-RF,SMB,HML,RF
20180809,-0.05,0.35,-0.32,0.007
20180810,-0.6,0.43,-0.23,0.007
20180813,-0.46,-0.16,-0.31,0.007
20180814,0.69,0.3,0.23,0.007
20180815,-0.91,-0.57,-0.11,0.007
20180816,0.86,-0.08,0.27,0.007
20180817,0.3,0.08,0.04,0.007
20180820,0.25,0.12,0.18,0.007
20180821,0.33,0.87,0.14,0.007
20180822,0.05,0.41,-0.45,0.007
20180823,-0.19,-0.06,-0.32,0.007
20180824,0.62,-0.04,-0.51,0.007
20180827,0.74,-0.69,-0.11,0.007
20180828,-0.01,-0.12,-0.29,0.007
20180829,0.56,-0.04,-0.59,0.007
20180830,-0.41,0.3,-0.43,0.007
20180831,0.08,0.49,-0.43,0.007
20180904,-0.11,-0.34,-0.08,0.008
20180905,-0.41,-0.18,0.7,0.008
20180906,-0.44,-0.39,-0.12,0.008
20180907,-0.18,0.09,-0.21,0.008
20180910,0.23,0.1,-0.33,0.008
20180911,0.37,-0.29,-0.21,0.008
20180912,0.03,-0.09,-0.06,0.008
20180913,0.45,-0.46,-0.36,0.008
20180914,0.12,0.26,0.25,0.008
20180917,-0.71,-0.47,0.92,0.008
20180918,0.57,0.06,-0.53,0.008
20180919,0.06,-0.61,1.17,0.008
20180920,0.77,0.29,-0.18,0.008
20180921,-0.13,-0.43,0.39,0.008
20180924,-0.31,0.03,-0.88,0.008
20180925,-0.05,0.3,-0.44,0.008
20180926,-0.4,-0.4,-0.59,0.008
20180927,0.27,-0.26,-0.57,0.008
20180928,-0.03,0.41,-0.19,0.008
20181001,0.16,-1.62,0.38,0.008
20181002,-0.21,-1,0.67,0.008
20181003,0.2,0.88,0.43,0.008
20181004,-0.93,-1.05,1.55,0.008
20181005,-0.64,-0.4,0.4,0.008
20181008,-0.17,-0.38,1.19,0.008
20181009,-0.18,-0.26,0.17,0.008
20181010,-3.33,0.28,1.15,0.008
20181011,-1.96,0.42,-0.88,0.008
20181012,1.38,-0.89,-1.69,0.008
20181015,-0.48,0.92,0.47,0.008
20181016,2.24,0.68,-1.46,0.008
20181017,-0.08,-0.64,0.19,0.008
20181018,-1.54,-0.57,0.53,0.008
20181019,-0.25,-1.32,0.8,0.008
20181022,-0.38,0.43,-1.19,0.008
20181023,-0.62,-0.16,-0.33,0.008
20181024,-3.33,-0.89,0.64,0.008
20181025,1.93,0.47,-0.73,0.008
20181026,-1.65,0.56,0.37,0.008
20181029,-0.77,-0.29,1.64,0.008
20181030,1.66,0.37,0.1,0.008
20181031,1.22,-0.67,-0.69,0.008
20181101,1.29,1.31,-1.11,0.008
20181102,-0.53,0.81,0.64,0.008
20181105,0.4,-0.99,1.56,0.008
20181106,0.58,-0.16,0.03,0.008
20181107,2.11,-0.33,-1.02,0.008
20181108,-0.28,-0.23,0.23,0.008
20181109,-1.04,-0.86,0.39,0.008
20181112,-2.06,-0.02,0.98,0.008
20181113,-0.13,-0.11,0.07,0.008
20181114,-0.77,-0.01,-0.19,0.008
20181115,1.18,0.38,-0.56,0.008
20181116,0.15,-0.01,-0.01,0.008
20181119,-1.88,-0.66,2.33,0.008
20181120,-1.85,0.12,-0.62,0.008
20181121,0.51,0.98,-0.29,0.008
20181123,-0.55,0.78,-0.57,0.008
20181126,1.62,-0.68,-0.18,0.008
20181127,0.11,-1.07,0.29,0.008
20181128,2.42,0.47,-1.27,0.008
20181129,-0.22,-0.12,-0.18,0.008
20181130,0.78,-0.36,-0.38,0.008
20181203,1.13,-0.07,-0.7,0.01
20181204,-3.45,-0.98,-0.1,0.01
20181206,-0.16,0.09,-1,0.01
20181207,-2.36,0.22,1.29,0.01
20181210,0.1,-0.23,-1.57,0.01
20181211,-0.08,-0.08,-0.34,0.01
20181212,0.68,0.55,-0.13,0.01
20181213,-0.26,-1.5,-0.17,0.01
20181214,-1.89,-0.1,0.6,0.01
20181217,-2.13,-0.26,0.99,0.01
20181218,-0.03,-0.01,-0.56,0.01
20181219,-1.58,-0.66,0.18,0.01
20181220,-1.62,-0.24,0.78,0.01
20181221,-2.17,-0.57,0.83,0.01
20181224,-2.55,0.98,-0.45,0.01
20181226,5.06,-0.01,-1.07,0.01
20181227,0.78,-0.68,-0.09,0.01
20181228,-0.03,0.75,0.24,0.01
20181231,0.9,-0.09,-0.47,0.01
20190102,0.23,0.57,1.15,0.01
20190103,-2.45,0.4,1.23,0.01
20190104,3.55,0.44,-0.74,0.01
20190107,0.94,0.93,-0.67,0.01
20190108,1.01,0.49,-0.53,0.01
20190109,0.56,0.5,-0.04,0.01
20190110,0.42,0.01,-0.41,0.01
20190111,-0.01,0.1,0.29,0.01
20190114,-0.6,-0.57,0.88,0.01
20190115,1.06,0,-0.88,0.01
20190116,0.28,0.1,0.83,0.01
20190117,0.75,0.1,-0.19,0.01
20190118,1.29,-0.34,0.11,0.01
20190122,-1.53,-0.39,0.3,0.01
20190123,0.15,-0.41,-0.13,0.01
20190124,0.23,0.45,-0.1,0.01
20190125,0.9,0.46,-0.37,0.01
20190128,-0.8,-0.17,0.65,0.01
20190129,-0.19,0,0.17,0.01
20190130,1.51,-0.1,-1.06,0.01
20190131,0.92,0.14,-1.08,0.01
20190201,0.14,-0.12,0.34,0.01
20190204,0.72,0.52,-0.57,0.01
20190205,0.43,-0.09,-0.56,0.01
20190206,-0.22,-0.01,0.01,0.01
20190207,-0.93,-0.14,0.41,0.01
20190208,0.09,0.02,-0.67,0.01
20190211,0.14,0.65,0.2,0.01
20190212,1.36,0.04,-0.24,0.01
20190213,0.28,0.09,0.05,0.01
20190214,-0.21,0.51,-0.55,0.01
20190215,1.13,0.23,0.53,0.01
20190219,0.19,0.28,0.32,0.01
20190220,0.19,0.21,0.59,0.01
20190221,-0.37,-0.06,-0.25,0.01
20190222,0.65,0.51,-1.37,0.01
20190225,0.15,-0.23,-0.2,0.01
20190226,-0.16,-0.64,-0.3,0.01
20190227,0.09,0.22,-0.15,0.01
20190228,-0.31,0.01,-0.28,0.01
20190301,0.72,0.31,-0.48,0.009
20190304,-0.52,-0.38,0.32,0.009
20190305,-0.17,-0.32,-0.22,0.009
20190306,-0.84,-1.28,0.09,0.009
20190307,-0.82,-0.07,-0.27,0.009
20190308,-0.22,0.04,-0.13,0.009
20190311,1.49,0.33,-0.49,0.009
20190312,0.25,-0.27,-0.04,0.009
20190313,0.68,-0.3,0.01,0.009
20190314,-0.1,-0.37,0.23,0.009
20190315,0.48,-0.28,-0.28,0.009
20190318,0.46,0.17,0.34,0.009
20190319,-0.09,-0.37,-0.89,0.009
20190320,-0.39,-0.01,-0.99,0.009
20190321,1.11,0.25,-1.12,0.009
20190322,-2.17,-1.57,0.07,0.009
20190325,-0.05,0.65,-0.29,0.009
20190326,0.76,0.19,0.43,0.009
20190327,-0.5,0.09,0.51,0.009
20190328,0.4,0.39,-0.1,0.009
20190329,0.66,-0.26,-0.84,0.009
20190401,1.19,-0.29,0.96,0.01
20190402,-0.05,-0.13,-0.41,0.01
20190403,0.27,0.2,-0.37,0.01
20190404,0.19,0.21,0.95,0.01
20190405,0.52,0.51,-0.02,0.01
20190408,0.08,-0.3,0.12,0.01
20190409,-0.65,-0.59,-0.08,0.01
20190410,0.48,0.94,-0.06,0.01
20190411,0,-0.34,0.43,0.01
20190412,0.65,-0.52,0.69,0.01
20190415,-0.09,-0.21,-0.59,0.01
20190416,0.13,0.15,0.63,0.01
20190417,-0.32,-0.68,0.78,0.01
20190418,0.11,-0.26,-0.47,0.01
20190422,0.11,-0.44,-0.56,0.01
20190423,0.97,0.73,-0.58,0.01
20190424,-0.23,0.31,-0.22,0.01
20190425,-0.14,-0.71,-0.26,0.01
20190426,0.53,0.43,0.05,0.01
20190429,0.18,0.11,0.61,0.01
20190430,-0.04,-0.69,0.25,0.01
20190501,-0.83,-0.1,-0.06,0.009
20190502,-0.16,0.49,-0.49,0.009
20190503,1.13,0.95,-0.27,0.009
20190506,-0.39,0.62,-0.45,0.009
20190507,-1.69,-0.29,0.53,0.009
20190508,-0.21,-0.15,-0.3,0.009
20190509,-0.28,0.08,0.09,0.009
20190510,0.35,-0.36,0.11,0.009
20190513,-2.67,-0.73,0.36,0.009
20190514,0.93,0.4,-0.03,0.009
20190515,0.58,0.04,-0.94,0.009
20190516,0.91,-0.41,-0.24,0.009
20190517,-0.73,-0.81,0.35,0.009
20190520,-0.65,-0.23,0.79,0.009
20190521,0.9,0.41,-0.34,0.009
20190522,-0.4,-0.49,-0.63,0.009
20190523,-1.37,-0.7,-0.23,0.009
20190524,0.23,0.51,0.29,0.009
20190528,-0.78,0.27,-0.6,0.009
20190529,-0.71,-0.27,0.44,0.009
20190530,0.14,-0.29,-0.78,0.009
20190531,-1.37,-0.15,-0.21,0.009
20190603,-0.4,0.4,1.44,0.009
20190604,2.33,0.45,-0.17,0.009
20190605,0.69,-1.01,-0.91,0.009
20190606,0.55,-1.02,-0.01,0.009
20190607,1.04,-0.01,-1.15,0.009
20190610,0.53,0,-0.07,0.009
20190611,-0.12,-0.26,0.59,0.009
20190612,-0.2,0.36,-0.89,0.009
20190613,0.52,0.66,-0.01,0.009
20190614,-0.27,-0.75,0.3,0.009
20190617,0.15,0.61,-1.08,0.009
20190618,1.04,0.2,0.19,0.009
20190619,0.32,0.11,-0.59,0.009
20190620,0.89,-0.36,-0.23,0.009
20190621,-0.21,-0.45,-0.07,0.009
20190624,-0.34,-0.92,0.15,0.009
20190625,-0.98,0.34,0.74,0.009
20190626,-0.06,-0.06,0.22,0.009
20190627,0.6,1.41,-0.09,0.009
20190628,0.68,0.65,0.61,0.009
